author,cat_earliest,cat_latest
 A. V. Prokofiev,nucl-ex,cond-mat.str-el
 A. V. Rozhkov,cond-mat.str-el,cond-mat.supr-con
 A. V. Sologubenko,cond-mat.supr-con,cond-mat.str-el
 A. V. Ustinov,cond-mat.supr-con,cond-mat.mes-hall
 A. V. Yurov,astro-ph,hep-th
 A. Valcarce,hep-ph,nucl-th
 A. Volberg,math-ph,math.PR
 A. W. Rushforth,cond-mat.mes-hall,cond-mat.mtrl-sci
 A. W. Smith,hep-th,astro-ph
 A. W. Thomas,hep-ph,nucl-th
 A. Widom,nucl-th,cond-mat.mtrl-sci
 A. Wolf,physics.atom-ph,astro-ph
 A. Y. Shiekh,physics.gen-ph,quant-ph
 A. Yamaguchi,cond-mat.mes-hall,cond-mat.mtrl-sci
 A. Yamamoto,nucl-ex,hep-ex
 A. Yu. Kamenshchik,gr-qc,hep-th
 A. Yu. Khrennikov,math.GM,math-ph
 A. Yu. Orlov,cond-mat.dis-nn,math-ph
 A. Yu. Smirnov,cond-mat.other,cond-mat.mtrl-sci
 A. Zelenski,nucl-ex,hep-ex
 A. Zeriahi,math.DG,math.CV
 A. Zhugayevych,math.FA,cond-mat.stat-mech
 A. Zichichi,physics.ins-det,astro-ph
 A. del Campo,quant-ph,cond-mat.other
 AM Semikhatov,hep-th,math.QA
 Aaron Worley,nucl-th,astro-ph
 Abdul S. Jarrah,nlin.CG,cs.MA
 Abhay Karandikar,cs.NI,cs.IT
 Abhijit Champanerkar,math.GT,math.CO
 Abhijit Mookerjee,cond-mat.dis-nn,physics.atm-clus
 Achim Kempf,gr-qc,cond-mat.supr-con
 Achim Peters,physics.class-ph,astro-ph
 Achim Seifter,cond-mat.other,cond-mat.mtrl-sci
 Adam Gamsa,cond-mat.stat-mech,math-ph
 Adam Kisiel,nucl-th,nucl-ex
 Adam Lipowski,cs.CL,physics.soc-ph
 Adam Smith,cs.DS,quant-ph
 Adam Wasserman,cond-mat.mtrl-sci,cond-mat.other
 Adel Bouchareb,gr-qc,hep-th
 Adele Naddeo,cond-mat.str-el,cond-mat.stat-mech
 Adilson E. Motter,cond-mat.dis-nn,cond-mat.stat-mech
 Aditi Sen De,quant-ph,cond-mat.other
 Aditya Joshi,cond-mat.other,cond-mat.supr-con
 Adom Giffin,stat.ME,physics.data-an
 Adrian Andronache,cs.DC,cs.MM
 Adrian Dumitru,nucl-th,hep-lat
 Adrian Jenkins,math.DS,astro-ph
 Adrian Sabin Popescu,astro-ph,gr-qc
 Adriano Barra,cond-mat.stat-mech,cond-mat.dis-nn
 Agostino Patella,hep-lat,hep-th
 Aharon Kapitulnik,hep-ex,cond-mat.supr-con
 Ahsan Nazir,cond-mat.mes-hall,quant-ph
 Aidan Roy,math.CO,quant-ph
 Aiguo Xu,cond-mat.mtrl-sci,physics.comp-ph
 Aiyou Chen,stat.AP,stat.ME
 Ajay Patwardhan,cond-mat.stat-mech,hep-th
 Akihiro Tanaka,quant-ph,cond-mat.stat-mech
 Akimichi Takemura,math.AC,math.CO
 Akira Endo,cond-mat.mes-hall,astro-ph
 Akira Furusaki,cond-mat.other,cond-mat.dis-nn
 Akira Ishii,math.AG,cond-mat.mtrl-sci
 Akira Ohnishi,nucl-th,astro-ph
 Akira R. Kinjo,physics.comp-ph,q-bio.BM
 Akira Yamamoto,gr-qc,physics.ins-det
 Akisato Kimura,cs.IT,cs.MM
 Akiya Miyamoto,physics.comp-ph,physics.ins-det
 Al-Sakib Khan Pathan,cs.OH,cs.NI
 Alain Pajor,math.PR,math.FA
 Alain Tapp,quant-ph,cs.CR
 Alan Dow,math.LO,math.GN
 Alan Frieze,math.CO,stat.ML
 Alan Horwitz,math.CV,math.CA
 Alan Kostelecky,gr-qc,hep-ph
 Alan Weinstein,math-ph,math.DG
 Albert Roura,quant-ph,gr-qc
 Alberto Bernacchia,physics.bio-ph,math.ST
 Alberto Canonaco,math.KT,math.AG
 Alberto Cortijo,cond-mat.str-el,cond-mat.dis-nn
 Alberto Girlando,cond-mat.str-el,cond-mat.mtrl-sci
 Alberto Pepe,cs.CL,cs.DL
 Alberto Saa,physics.class-ph,gr-qc
 Alberto Tonolo,math.RA,math.KT
 Alejandro Cabo Montes de Oca,gr-qc,hep-ph
 Alejandro Ibarra,hep-ph,astro-ph
 Alejandro Rodriguez,quant-ph,physics.comp-ph
 Alejandro W. Rodriguez,cond-mat.stat-mech,physics.optics
 Aleksandar Stojmirović,q-bio.BM,q-bio.QM
 Ales Drapal,math.CO,math.GR
 Alessandro De Gregorio,math.PR,math.ST
 Alessandro Fabbri,hep-th,cond-mat.other
 Alessandro Giuliani,q-bio.CB,cond-mat.stat-mech
 Alessandro Toigo,math-ph,quant-ph
 Alessandro Vespignani,q-bio.OT,cs.CR
 Alessandro Vezzani,math-ph,cond-mat.dis-nn
 Alessio Guglielmi,cs.CC,math.LO
 Alex Arenas,physics.comp-ph,physics.soc-ph
 Alex E. Bernardini,hep-ph,quant-ph
 Alex Eskin,math.DS,math.GR
 Alex Hansen,cond-mat.stat-mech,cond-mat.dis-nn
 Alex Kamenev,cond-mat.mes-hall,cond-mat.stat-mech
 Alexander Burinskii,gr-qc,hep-th
 Alexander E. Hramov,nlin.CD,physics.plasm-ph
 Alexander Friedland,astro-ph,hep-ph
 Alexander I. Milstein,cond-mat.mes-hall,cond-mat.str-el
 Alexander Iomin,q-bio.CB,cond-mat.dis-nn
 Alexander J. Silenko,cond-mat.mtrl-sci,math-ph
 Alexander K. Motovilov,physics.atm-clus,quant-ph
 Alexander K. Vidybida,physics.bio-ph,q-bio.NC
 Alexander Kamenshchik,gr-qc,quant-ph
 Alexander Kitaev,math.CA,math.AG
 Alexander Molev,math.RT,math.RA
 Alexander N. Korotkov,quant-ph,cond-mat.mes-hall
 Alexander O. Gogolin,cond-mat.other,cond-mat.str-el
 Alexander Ortlieb,cond-mat.other,cond-mat.mes-hall
 Alexander Postnikov,math.CO,math.AG
 Alexander Pukhov,physics.plasm-ph,hep-ph
 Alexander Seel,cond-mat.stat-mech,math-ph
 Alexander Shatskiy,gr-qc,astro-ph
 Alexander Shnirman,cond-mat.mes-hall,cond-mat.other
 Alexander V. Rezounenko,math.DS,math.AP
 Alexander Vasil'ev,math.CV,math-ph
 Alexander Volberg,math.CV,math.CA
 Alexander Zaitsev,hep-ph,physics.pop-ph
 Alexander Zhidenko,gr-qc,hep-th
 Alexandra Dragovich,q-bio.GN,q-bio.OT
 Alexandra S. Landsman,nlin.CD,physics.bio-ph
 Alexandra Shlapentokh,math.NT,math.LO
 Alexandre Souto Martinez,physics.comp-ph,cond-mat.stat-mech
 Alexandru D. Ionescu,math.AP,gr-qc
 Alexandru Nica,math.OA,math.CO
 Alexei Borodin,math-ph,math.RT
 Alexei Kitaev,hep-th,cond-mat.mes-hall
 Alexei Zhedanov,math.CA,math.QA
 Alexey A. Kryukov,math-ph,quant-ph
 Alexey A. Petrov,hep-ph,astro-ph
 Alexey Koronovskii,nlin.CD,physics.plasm-ph
 Alexey Veryaskin,physics.ins-det,physics.geo-ph
 Alfred O. Hero,q-bio.GN,stat.ML
 Alfred Ramani,nlin.SI,math-ph
 Alfredo Braunstein,q-bio.NC,cond-mat.dis-nn
 Ali Kaya,gr-qc,hep-th
 Ali Mahdipour Shirayeh,math-ph,math.DG
 Allal Ghanmi,math.SP,math.CA
 Allan Greenleaf,physics.optics,math.AP
 Allan Sly,math.PR,cs.CC
 Allan Widom,cond-mat.mtrl-sci,cond-mat.other
 Alok Shukla,cond-mat.str-el,cond-mat.mtrl-sci
 Alphan Sennaroglu,quant-ph,cond-mat.other
 Alán Aspuru-Guzik,quant-ph,cond-mat.mtrl-sci
 Amac Herdagdelen,physics.soc-ph,q-fin.GN
 Ambar N. Sengupta,hep-th,math-ph
 Amelia Álvarez Sánchez,math.AG,math.AC
 Amin Coja-Oghlan,math.CO,cs.CC
 Amir Moradifam,math.AP,math.NA
 Amitabha Lahiri,hep-ph,math-ph
 Amos Ron,math.CA,math.AC
 Amritanshu Prasad,math.RT,math.GR
 An-Cai Wu,cond-mat.dis-nn,q-fin.GN
 Ana Achucarro,astro-ph,hep-th
 Ana Sokolova,cs.CR,cs.LO
 Anatoly N. Kochubei,math.NT,math-ph
 Anders Eriksson,physics.chem-ph,cond-mat.soft
 Anders S. Sorensen,cond-mat.mes-hall,quant-ph
 Andras I. Stipsicz,math.GT,math.SG
 Andras Lorincz,cs.AI,stat.ME
 Andras Nemethi,math.AG,math.GT
 Andre C. R. Martins,q-bio.PE,physics.soc-ph
 Andre Henriques,math.AG,math.CO
 Andre Schirotzek,cond-mat.supr-con,cond-mat.soft
 Andre Thuering,quant-ph,physics.optics
 Andrea Cavagna,cond-mat.stat-mech,q-bio.QM
 Andrea Goldsmith,cs.GT,cs.IT
 Andrea Gregori,physics.gen-ph,hep-th
 Andrea Guazzini,physics.soc-ph,cs.MA
 Andrea Macrina,gr-qc,q-fin.PR
 Andrea Malchiodi,math.AP,math.DG
 Andrea Montanari,cs.IT,cs.AI
 Andrea Pagnani,cond-mat.stat-mech,cond-mat.dis-nn
 Andrea Tomadin,cond-mat.other,cond-mat.str-el
 Andrea Wulzer,hep-ph,hep-th
 Andreas Blass,math.LO,cs.LO
 Andreas Boukas,math-ph,q-fin.PR
 Andreas Engel,cond-mat.stat-mech,physics.data-an
 Andreas Heuer,cond-mat.stat-mech,cond-mat.mtrl-sci
