author,first_year,last_year,active_span_years,paper_count
 P. Pakhlov,2007,2025,18,342
 Sara Seager,2007,2025,18,342
 F. Tavecchio,2007,2025,18,342
 Shing-Tung Yau,2007,2025,18,341
 Joss Bland-Hawthorn,2007,2025,18,341
 T. Matsuda,2007,2025,18,341
 A. Cimatti,2007,2025,18,341
 Y. Yao,2007,2025,18,341
 C. W. Wang,2007,2025,18,341
 Wen Chen,2007,2025,18,340
 L. N. da Costa,2007,2025,18,340
 B. Zhang,2007,2025,18,340
 Z. L. Wang,2007,2025,18,340
 Wei Hu,2007,2025,18,339
 F. Halzen,2007,2025,18,339
 Y. Song,2007,2025,18,338
 B. W. Stappers,2007,2025,18,338
 M. Masuda,2007,2025,18,338
 L. Zhao,2007,2025,18,338
 Eugene Demler,2007,2025,18,338
 Y. Tokura,2007,2025,18,337
 F. Fiore,2007,2025,18,337
 R. Beck,2007,2025,18,337
 F. Bouchy,2007,2025,18,337
 Bo Chen,2007,2025,18,337
 V. Singh,2007,2025,18,337
 Yong Chen,2007,2025,18,337
 Tong Liu,2007,2025,18,337
 G. Piotto,2007,2025,18,336
 B. Shwartz,2007,2025,18,336
 Kai Xu,2007,2025,18,335
 L. Ma,2007,2025,18,334
 Robert B. Mann,2007,2025,18,333
 T. Nakamura,2007,2025,18,333
 S. Mereghetti,2007,2025,18,333
 M. Tanaka,2007,2025,18,332
 Li Liu,2007,2025,18,332
 A. Gupta,2007,2025,18,332
 T. Sumiyoshi,2007,2025,18,331
 E. Solano,2007,2025,18,331
 A. Haungs,2007,2025,18,331
 D. Wang,2007,2025,18,331
 A. Petrov,2007,2025,18,331
 Michael Ruzhansky,2007,2025,18,330
 Yi Xu,2007,2025,18,330
 P. Caselli,2007,2025,18,330
 Tianjun Li,2007,2025,18,329
 J. A. Caballero,2007,2025,18,329
 Jian Zhou,2007,2025,18,329
 F. Longo,2007,2025,18,329
 G. Brunetti,2007,2025,18,329
 Ming Yang,2007,2025,18,329
 Hong Guo,2007,2025,18,328
 Feng Yuan,2007,2025,18,328
 D. J. James,2007,2025,18,328
